customer_id,first_name,last_name,email,phone,street_address,city,postal_code,country,sign_up_date,lease_start,lease_end,unit_id,unit_size,monthly_fee,payment_status,last_payment_date,notes
C102015,Henry,Martinez,henryma@outlook.com,PHONE963,Main St 45,Haarlem,1887 AC,Ned.,2016/02/26,11/12/2016,20210422,u1250,12 sqm,343.32,late,25-Jan-2022,telefono incorrecto
C101876,Noah,Wilson,nwilson@outlook.com,613773251,Stationsplein 165,Amstelveen,8336 B,Nederland,20190826,12-Jun-2016,indefinite,427A,15m2,261.58,paid,2025/03/13,Moved out
C100937,Emma,Gonzalez,emma82@yahoo.com,570160161,Langestraat 147,Eindhoven,3775 AC,Nederland,20190823,20170716,2023-01-17,#314,unknown,209.47,suspended,22.04.2025,Prefers email
C101562,Alexander,Martin,amartin@gmail.com,06-88714186,Oudeweg 12,Alkmaar,8451 AB,Netherlands,03-01-2025,25/01/2018,2026/09/19,Unit 341,15m2,442.03,Overdue,20200718,Pays cash
C100179,James,Smith,james7@gmail.com,+31 6 74029907,Langestraat 96,Eindhoven,7965 AB,Nederland,26-Oct-2018,2025-06-09,02-01-2027,u1237,8 sqm,314.12,Overdue,2019-05-18,Key lost
C101723,Olivia,Jones,oliviajo@yahoo.com,553376727,Vijzelstraat 158,The Hague,1221 AA,Netherlands,01.10.2018,20220824,15.07.2018,Unit 106,5,133.16,overdue,02/12/2022,Moved out
C101472,Amelia,Moore,ameliamo@hotmail.com,+31 6 69604952,Oudeweg 123,Alkmaar,9862 AA,NL,02/11/2023,07-04-2016,2020-08-07,u1014,—,356.35,late,13-Apr-2018,Pays cash
C102167,Oliver,Moore,omoore at gmail.com,06-77079780,Baker St 77,Rotterdam,2825 AC,NL,22/02/2024,01.08.2025,20210404,u1154,10,52.7,pending,05-14-2020,Moved out
C101716,William,Rodriguez,williamro@yahoocom,318175753,Oudeweg 154,Haarlem,8650 AC,Nederland,03-Apr-2021,11/05/2020,01/02/2021,Unit 273,unknown,214.84,suspended,12-Jan-2020,Customer asked for discount
C101646,Alexander,Wilson,alexander.wilson@outlook.com,PHONE400,Baker St 153,Haarlem,9039 AB,Ned.,2021-06-24,20230809,07/06/2021,U1393,5m2,386.03,suspended,26-Feb-2018,
C101708,Oliver,Taylor,oliverta@yahoo.com,PHONE661,Dorpsweg 60,Eindhoven,9408,NL,20220516,07/02/2016,20220303,451A,15,342.06,late,,Pays cash
C100251,Brown,Avva,brownav@outlook.com,+31 6 03619202,Hoofdstraat 106,The Hague,2248,Netherlands,26-Oct-2024,2023-01-23,2025/09/19,#437,5m2,529.34,suspended,11-18-2018,Pays cash
C102009,Sophia,Martinez,smartinez@gmail.com,901635835,Langestraat 146,Leiden,8359 B,Ned.,10/06/2019,20251105,09-08-2021,#483,15 sqm,204.76,late,04/12/2022,Customer asked for discount
C100602,Oliver,Smith,oliver50@yahoo.com,0031-6-29182363,Princenhagelaan 143,Rotterdam,6741 AB,Nederland,16/06/2022,08-28-2019,28-Dec-2026,U1173,10m2,450.22,paid,2021/12/20,
C101611,Benjamin,Gonzalez,bgonzalez@inboxstorage.eu,699256037,Dorpsweg 96,Rotterdam,7372 B,NL,20180420,27.12.2016,2024/07/15,#385,10,546.61,suspended,10-01-2020,Pays cash
C100486,Harper,Williams,hwilliams@inboxstorageeu,645820721,Langestraat 16,Leiden,6381 AB,Netherlands,05.10.2019,28/12/2025,2022/12/12,326A,unknown,542.9,PAID,12-20-2024,telefono incorrecto
C100029,Emma,Jackson,emmaja@hotmail.com,+31 6 74212309,Princenhagelaan 85,Haarlem,1803 AA,Ned.,31/12/2017,07-15-2023,03.10.2025,#305,unknown,417.15,paid,05-10-2021,Pays cash
C100900,Isabella,Garcia,isabellaga@hotmail.com,+31 6 09511391,Dorpsweg 24,Eindhoven,9762 AC,NL,26-Jul-2018,17.08.2017,04-27-2025,267A,15m2,81.46,Overdue,2019/07/07,telefono incorrecto
C100508,Henry,Hernandez,henry.hernandez@hotmail.com,06-54478893,Oudeweg 135,Amsterdam,5183 B,Netherlands,2021/05/25,20221220,09/03/2025,#226,unknown,371.69,PAID,2024/08/09,警告: unpaid
C102082,Ava,Jackson,avaja at hotmail.com,+31 6 06082250,Dorpsweg 12,Leiden,6010 AB,Ned.,28/06/2016,03-06-2025,22-Aug-2023,u1182,5,484.81,overdue,20180614,Key lost
C100889,Henry,Martinez,henry.martinez@outlook.com,644441388,Baker St 99,Haarlem,9115 B,Netherlands,20190302,11/07/2024,2018-12-21,U1006,8 sqm,187.0,PAID,2021-12-12,telefono incorrecto
C102057,Ava,Taylor,,06-09019003,Princenhagelaan 170,Haarlemmermeer,8846 AC,NL,2025/05/15,12-27-2017,09-21-2027,u1121,5m2,125.05,pending,07-28-2021,Moved out
C100792,Lucas,Jackson,ljackson@example.com,0031-6-33805363,Oudeweg 28,Eindhoven,9951 AA,Ned.,11-26-2018,31/05/2022,2023/09/07,U1104,5,296.27,Overdue,29.09.2024,Prefers email
C102095,Isabella,Jones,isabellajo@example.com,06-32382234 ext 58,Langestraat 105,Utrecht,1590 B,Netherlands,2020/07/18,05/07/2016,2021-03-27,Unit 496,10m2,537.9,late,2022-05-03,Moved out
C100275,Harper,Martin,harper.martin@yahoo.com,+31 6 75635584 ext 654,Vijzelstraat 105,Amstelveen,1966 AC,Netherlands,13/06/2021,05/01/2022,indefinite,257A,5m2,94.2,overdue,27/03/2024,Prefers email
C100254,Mia de,Moore,mia de67@gmail.com,945237597,Oudeweg 167,Rotterdam,7429 AA,Netherlands,27.12.2022,24-Dec-2021,03-13-2021,Unit 479,10,450.0,suspended,06-29-2018,Prefers email
C100306,Sophia,Lopez,sophialo@examplecom,PHONE622,Hoofdstraat 172�,Amsterdam,5598 B,Ned.,25.06.2020,20230420,2022/04/20,u1454,3 sqm,412.4,late,2024/09/25,Pays cash
C101783,Charlotte de,Smith,charlotte desm@yahoo.com,0031-6-28404522,Dorpsweg 97,Leiden,4121 AB,NL,11.08.2021,08-10-2019,10-29-2022,#164,—,181.71,suspended,27-Feb-2018,
C101189,Emma,Rodriguez,erodriguez@yahoo.com,615697171,Hoofdstraat 84,Amsterdam,3765 B,Netherlands,05-25-2023,04-Nov-2021,09-Jan-2025,37A,4 sqm,283.68,PAID,2023/01/29,警告: unpaid
C100759,Elijah,Jones,ejones@inboxstorage.eu,603253836,Dorpsweg 31,Haarlem,2630 AC,Ned.,15-Mar-2022,29-Dec-2017,15/07/2023,245A,5,130.76,late,04-16-2020,Pays cash
C100168,Henry,Williams,hwilliams@example.com,PHONE183,Baker St 13,Haarlem,7147,Netherlands,12.11.2022,2019-02-17,2024-10-20,440A,unknown,430.04,suspended,13-Jul-2024,警告: unpaid
C100668,Charlotte,Taylor,ctaylor@hotmail.com,+31624080770,Oudeweg 184,Alkmaar,5747,NL,2017-03-24,26-Sep-2024,2024-07-14,u1121,unknown,151.5,late,20250608,
C100184,Charlotte,Anderson,charlotte.anderson@gmail.com,191650344,Hoofdstraat 194,Alkmaar,2070,Nederland,11-07-2023,2022/09/01,17.02.2024,#22,12 sqm,479.14,suspended,2021-01-17,telefono incorrecto
C100414,Amelia,Rodriguez,amelia57@gmail.com,06-70049174,Hoofdstraat 79,Haarlem,5490 AB,Ned.,09-03-2021,23/11/2025,2020-10-23,u1372,unknown,111.75,late,2019-12-06,Moved out
C101841,Evelyn,Jones,ejones@gmail.com,PHONE528,Main St 189,Amstelveen,3725 AB,Ned.,12-28-2017,17/07/2023,20201008,Unit 109,—,362.73,Overdue,04-16-2022,Customer asked for discount
C101463,Mia,Jackson,miaja@example.com,PHONE339,Baker St 61,The Hague,9366 AA,NL,12/01/2020,12-22-2024,2021/11/29,229A,5,175.99,pending,2021/10/03,Moved out
C100111,Isabella,Rodriguez,isabellaro@example.com,699667345,Vijzelstraat 152,Amsterdam,3687,Nederland,2019/05/16,2023/10/28,20240515,#72,3 sqm,534.27,Overdue,18-Nov-2021,警告: unpaid
C100742,Amelia,Thomas,ameliath at outlook.com,773503188,Vijzelstraat 58,Rotterdam,3703,NL,23-Dec-2019,12/08/2025,31-Jul-2020,u1209,5,97.81,Overdue,2025/01/27,Moved out
C102110,Noah,Williams,noah.williams@example.com,PHONE519,Oudeweg 40,Leiden,3318 AA,Nederland,18/10/2020,08/02/2017,2027/07/09,Unit 220,unknown,540.78,PAID,2024-06-16,
C101271,Ava,Garcia,agarcia@outlook.com,+31606475325,Langestraat 81,Alkmaar,8858 AB,Nederland,2024-11-10,20231231,2026/07/31,Unit 92,—,373.35,overdue,2024/11/30,telefono incorrecto
C100618,Noah,Anderson,noahan@hotmail.com,+31 6 57603961,Dorpsweg 161,Utrecht,5983,NL,2018-09-30,20171231,2018-07-26,267A,5,45.3,Overdue,02.03.2019,telefono incorrecto
C102104,Olivia,Williams,olivia.williams@example.com,0031-6-68403219,Princenhagelaan 122,Haarlemmermeer,5845 AA,NL,07-20-2019,05-06-2020,16-Jan-2023,u1367,—,365.23,late,21-Mar-2019,Moved out
C100354,William,Moore,wmoore at hotmail.com,+31 6 29887123 ext 187,Dorpsweg 59,Utrecht,5357 AC,NL,21/05/2021,02-Nov-2019,17/04/2025,440A,10 sqm,49.65,late,2025/11/30,telefono incorrecto
C101964,Noah,Rodriguez,noahro@yahoo.com,PHONE531,Oudeweg 94,Alkmaar,8533,NL,2025/10/15,20171224,20190115,85A,15,210.36,suspended,20.12.2024,Prefers email
C101541,Sophia,Moore,smoore@example.com,+31 6 99698090,Langestraat 23,Haarlem,1634 AB,NL,2022/11/02,20211006,2027-08-24,#300,2 sqm,377.01,pending,,telefono incorrecto
C101033,Isabella,Anderson,isabella16@gmail.com,103833311,Hoofdstraat 166,Einhoven,5178 AC,Nederland,20210611,18-Feb-2023,18-Aug-2022,#351,15m2,289.44,pending,2023/01/13,Key lost
C100746,Harper,Miller,harper90@yahoo.com,06-84545052,Hoofdstraat 174,Amsterdam,3039 AC,Nederland,2025/12/05,2019-10-22,04-Apr-2020,295A,10m2,178.55,paid,01-06-2021,Prefers email
C101317,Elijah,Martin,elijah.martin at outlook.com ,+31 6 51858237,Stationsplein 92,Alkmaar,5625 B,NL,20180502,20200910,2025-12-09,u1366,—,39.81,PAID,02-20-2018,telefono incorrecto
C101830,Mia,Rodriguez,miaro@yahoo.com,PHONE130,Baker St 148,Haarlem,1032,Nederland,26/03/2016,2017-02-04,08.08.2021,288A,—,229.23,pending,26-Oct-2020,Key lost
C100817,Charlotte,Jones,cjones@yahoo.com,421084398,Oudeweg 7,Utrecht,2642 B,Ned.,06-Dec-2018,2020/11/04,20170906,Unit 341,—,203.14,paid,04.10.2022,警告: unpaid
C101670,Alexander,Garcia,alexander.garcia@hotmail.com,06-39037897,Langestraat 112,Utrecht,3588 B,Nederland,18/03/2023,06/08/2020,2022/05/31,U1426,15,482.73,Overdue,24.02.2018,telefono incorrecto
C101788,Lucas,Martin,lucasma@example.com,450655107,Stationsplein 135,The Hague,4229 AB,Netherlands,03-26-2023,11.01.2016,08-20-2022,U1342,—,325.96,pending,,Pays cash
C100408,Mia,Hernandez,mia.hernandez@yahoo.com,06-77774449,Dorpsweg 91,Eindhoven,7223 AA,Netherlands,2017-07-26,20160331,01/04/2023,u1441,10m2,339.62,Overdue,20240607,Key lost
C101694,Liam,Martin,liam11@hotmail.com,06-28487398,Vijzelstraat 27,Haarlem,6387 B,Netherlands,19.10.2019,2024/02/12,20190522,U1282,—,205.96,paid,08-19-2023,Moved out
C100096,Ava,Johnson,avajo@hotmail.com,0031-6-41975466,Hoofdstraat 71,Amsterdam,3593 AC,Nederland,29.11.2019,20-Nov-2021,16.12.2019,u1078,—,199.82,Overdue,05-20-2025,警告: unpaid
C101461,Isabella,Brown,ibrown@gmail.com,691715679,Main St 8,Amsterdam,6237 AC,Netherlands,20180511,30.04.2024,01/04/2018,257A,15,238.47,overdue,23-May-2025,Customer asked for discount
C100422,Benjamin,Martinez,benjamin.martinez@gmail.com,PHONE350,Vijzelstraat 139,Haarlemmermeer,3713 B,Netherlands,28.02.2024,12-Jan-2019,04.10.2026,U1349,15,483.88,pending,07-08-2018,Customer asked for discount
C101401,Liam,Garcia,liam64@gmail.com,PHONE871,Market Rd 34,Amstelveen,3146 AA,NL,12-10-2016,2019/12/16,2025-05-31,u1403 - ,unknown,164.71,paid,22.05.2024,
C101845,James,Smith,james.smith@gmail.com,0031-6-86962424,Main St 117,Amsterdam,2219 AC,Nederland,14.02.2018,23/03/2019,28/11/2023,U1233,10,402.14,overdue,20250811,telefono incorrecto
C102028,Henry,Wilson,hwilson@outlook.com,350443863,Hoofdstraat 107,Eindhoven,3344 AB,NL,22-Aug-2024,2022/12/10,2019-01-09,u1374,12 sqm,404.46,PAID,05-17-2024,Key lost
C101001,Alexander,Brown,alexanderbr at hotmail.com,0031-6-31413192,Stationsplein 99,Amstelveen,6349 B,Netherlands,2024-11-23,2016/05/24,2027/12/07,#435,5,303.13,paid,2022-01-16,Pays cash
C100741,Emma,Martin,emma.martin@hotmail.com,620439718,Stationsplein 154,Rotterdam,9535 AC,Netherlands,17/10/2025,26-Dec-2018,14-Sep-2024,u1154,10,20.23,suspended,13/05/2021,Pays cash
C101732,Harper,Anderson,handerson@inboxstorage.eu,PHONE966,Main St 103,Leiden,5687 AB,Nederland,26/10/2018,28/11/2023,23.05.2022,#254,—,100.96,PAID,2025-07-26,Prefers email
C101075,Isabella,Davis,isabella57@outlook.com,PHONE205,Vijzelstraat 98,Haarlemmermeer,5387 AC,NL,04/09/2021,30.06.2024,indefinite,Unit 299,15,384.19,Overdue,2023/09/20,telefono incorrecto
C101993,Amelia,Martinez,amelia.martinez@outlook.com,PHONE323 ext 163,Stationsplein 10,Amstelveen,3260 AB,Ned.,2021-09-11,04/07/2020,26-Feb-2024,#483,10m2,116.66,suspended,,telefono incorrecto
C101337,Liam,Lopez,liamlo@yahoo.com,PHONE161 ext 817,Hoofdstraat 27,Amsterdam,2933 AC,NL,2019/08/05,2017/02/10,12-31-2027,290A,5m2,268.21,PAID,2021-01-22,Moved out
C101626,Alexander,Miller,alexandermi@yahoo.com,108362898,Baker St 13,Alkmaar,7489,NL,10-20-2016,06-May-2018,01-06-2027,U1149,6 sqm,55.37,paid,18/11/2024,Pays cash
C102133,James,Hernandez,james45@hotmail.com,+31 6 31422173,Stationsplein 19,Haarlemmermeer,4403,Nederland,07-Dec-2024,26.11.2018,10-17-2019,Unit 166,4 sqm,548.72,paid,25.07.2019,
C100247,Noah,Brown,noahbr@outlook.com,06-40703088,Princenhagelaan 23,Haarlem,7864,Netherlands,2020/09/28,2023-09-08,03-Dec-2027,440A,unknown,283.07000000000005,paid,10/03/2018,Customer asked for discount
C100073,Ava,Wilson,avawi@yahoo.com,PHONE532,Vijzelstraat 101,Haarlem,9648 AC,NL,23/10/2023,20231111,03/02/2019,Unit 166,15,262.49,overdue,05-31-2023,Moved out
C100552,Mia,Miller,mia.miller@example.com,PHONE344,Baker St 110,Haarlemmermeer,8689 AA,Nederland,20200412,09-18-2018,18.07.2026,u1409,10m2,461.68,overdue,22/03/2019,Moved out
C101616,William,Johnson,wjohnson at inboxstorage.eu,06-77991394,Princenhagelaan 134,Utrecht,4332 AB,Ned.,17-Apr-2023,01-Dec-2018,06-21-2025,Unit 212,2 sqm,466.5,pending,03-18-2020,Pays cash
C101194,Emma,Jackson,emmaja@hotmail.com,+31 6 82514864,Hoofdstraat 144,Amsterdam,9764 B,NL,2022/06/20,12-13-2019,20230713,Unit 106,5m2,196.74,overdue,2022-11-24,telefono incorrecto
C102190,Charlotte,Wilson,charlottewi@outlook.com,0031-6-35852718,Dorpsweg 111,Utrecht,1367 AB,Nederland,2024/10/29,20200405,2021-03-21,Unit 261,—,167.73,late,10-28-2025,Pays cash
C100555,Olivia,Martin,oliviamartin@inboxstorageeu,669484674,Vijzelstraat 147,Rotterdam,3283 B,Netherlands,14/05/2024,20190925,08-30-2025,412A,5 sqm,415.38,Overdue,25.12.2021,警告: unpaid
C100744,Lucas,Anderson,,0031-6-66009749,Dorpsweg 155,Leiden,6491 B,Netherlands,03-11-2022,2020/05/02,07-08-2025,U1306,—,456.99,late,30/09/2018,Key lost
C100979,William,Jackson,william5@inboxstorage.eu,+31 6 72903216,Baker St 185,The Hague,9373 AB,Ned.,2023/12/28,14/09/2025,24-Sep-2018,Unit 395,5,506.86,late,25.02.2022,Moved out
C100100,Oliver,Johnson,oliverjohnson@examplecom,673204413,Baker St 158,Eindhoven,6926 AC,NL,09.10.2024,20250131,05-25-2019,U1292,unknown,265.24,pending,,Pays cash
C100507,Henry,Martin,henryma@outlook.com,024891055,Dorpsweg 191,Eindhoven,4745 AC,NL,03-31-2020,24.04.2017,23/08/2026,147A,4 sqm,399.86,paid,24-Mar-2018,Key lost
C101936,Sophia,Rodriguez,sophia.rodriguez@example.com,PHONE342,Langestraat 30,Amsterdam,2330 AC,Netherlands,18.03.2025,2017-02-06,20261217,U1478,—,83.19,pending,2021/03/02,Customer asked for discount
C101762,Elijah,Jones,elijahjo@inboxstorage.eu,776065418,Princenhagelaan 5,Utrecht,6122 AA,Netherlands,07-03-2019,12/03/2020,22-Sep-2022,u1320,unknown,360.21,paid,20.07.2024,Pays cash
C100485,Amelia,Davis,adavis@outlook.com,06-46245540,Hoofdstraat 124,Haarlemmermeer,3719 AC,Ned.,04-03-2024,16-Jun-2018,01-Mar-2022,Unit 395,5m2,134.67,Overdue,,警告: unpaid
C100581,Evelyn,Wilson,ewilson@inboxstorage.eu,+31 6 43770296,Hoofdstraat 131,The Hague,2868 AB,NL,04.10.2022,02.12.2017,2026/12/07,U1040,15m2,424.26,Overdue,27/11/2021,Prefers email
C100350,William,Martin,william80@inboxstorage.eu,+31 6 53965974,Baker St 136,The Hague,6627 B,Netherlands,20250123,02-18-2021,20180710,186A,unknown,293.59,late,2018/05/23,
C102131,Alexander,Garcia,alexander97@outlook.com,06-64559786,Vijzelstraat 176,Amsterdam,8070 AC,Netherlands,09-09-2025,20200310,07.06.2024,#385,—,249.28,suspended,20230214,
C100719,James,Gonzalez,,666290879,Stationsplein 96,Rotterdam,8784 AB,Ned.,2016-02-16,20241111,2022-02-15,Unit 132,15,80.55,suspended,2023/08/13,
C100807,Noah,Anderson,noah.anderson@outlook.com,+31 6 64083444,Dorpsweg 188,Leiden,6389 AC,Nederland,2020-12-27,2017-03-08,20220601,#305,—,263.28,late,28-Dec-2022,Customer asked for discount
C101883,James,Martin,james.martin@hotmail.com,PHONE278,Main St 83,Haarlem,2581 AA,Nederland,17.02.2025,2023-06-04,06/04/2024,Unit 30,—,164.11,paid,20210331,Key lost
C100070,Isabella,Martinez,isabella78@gmail.com,06-65674916,Market Rd 4,Haarlem,2512 B,Ned.,2023/12/02,2016/11/25,29-Oct-2027,85A,15,285.34,pending,20220813,Customer asked for discount
C101699,Harper,Williams,harper.williams@gmail.com,PHONE683,Stationsplein 114,Eindhoven,7062,Ned.,08-29-2023,2020/04/21,11/08/2026,#388,15m2,283.07000000000005,paid,29.08.2021,Moved out
C101455,Liam,Hernandez,liam.hernandez@outlook.com,892445267,Stationsplein 178,Amstelveen,4614 AB,NL,13/01/2018,17/10/2019,20270920,#443,—,289.16,paid,01-18-2020,
C101347,Sophia,Taylor,sophiata@gmail.com,06-32003745,Stationsplein 95,Haarlemmermeer,3779 B,Netherlands,2020-04-27,07-28-2016,2020-02-20,u1380,unknown,144.05,overdue,20251111,Pays cash
C100303,Anderson,Henry,anderson.henry@example.com,+31 6 71103847,Vijzelstraat 182,Haarlemmermeer,4757 B,NL,2019-06-27,20170709,18/12/2020,u1408,unknown,460.66,overdue,2022-12-31,Prefers email
C101391,Henry,Smith,hsmith@inboxstorage.eu,PHONE425,Market Rd 37,Alkmaar,2080 AC,NL,21.06.2021,2020/05/23,20200404,#379,6 sqm,139.11,paid,30.09.2022,Moved out
C101090,Elijah,Jackson,elijahja@gmail.com,+31 6 94597414,Stationsplein 83,Utrecht,5194 AA,Netherlands,16/12/2020,19-Jul-2024,2023/03/05,#157,10,311.72,Overdue,04-Sep-2021,Prefers email
C100420,Liam,Johnson,liam57@outlook.com,0031-6-09006325,Stationsplein 57,Rotterdam,5702 B,NL,20230410,12.07.2024,2027/09/09,u1146,unknown,409.47,pending,04-15-2020,Customer asked for discount
C100599,Olivia,Wilson,owilson@example.com,391369975,Hoofdstraat 124,Rotterdam,8230 AA,NL,20181026,12/09/2017,11-04-2019,U1497,—,379.02,paid,29/04/2023,Moved out
C101000,Evelyn,Jones,evelynjo@hotmail.com,621811246,Stationsplein 6,Haarlemmermeer,4893,Nederland,28/12/2017,26/11/2021,27/01/2018,u1061,5,383.54,paid,2025-11-21,Key lost
C102024,Lucas,Martin,lucas15@inboxstorage.eu,663231455,Vijzelstraat 170,Rotterdam,5141 AB,NL,20190305,20160504,20210903,u1446,15,285.51,PAID,06/07/2024,Pays cash
C101951,Benjamin,Taylor,btaylor@examplecom,629806296,Hoofdstraat 67,Amstelveen,5771,Ned.,20181214,2018-09-01,07-28-2020,Unit 13,unknown,379.75,pending,15/07/2023,Customer asked for discount
C100999,Oliver,Miller,oliver.miller at gmail.com,06-33467057,Dorpsweg 196,Eindhoven,4167 B,Ned.,12/08/2025,2017-03-01,01.02.2025,U1036,12 sqm,392.56,overdue,,telefono incorrecto
C100450,Charlotte,Martin,charlottema@yahoo.com,06-26957752,Dorpsweg 59,Haarlemmermeer,4607 AA,Nederland,20221231,05/01/2020,10.07.2019,358A,—,540.29,suspended,01/04/2023,Prefers email
C100290,Lucas,Smith,lucas.smith@gmail.com,PHONE580,Langestraat 127,Haarlem,5539 AC,Ned.,2023/06/10,14-Feb-2020,07-25-2023,u1026,15m2,211.8,late,14.09.2021,Customer asked for discount
C100109,Liam,Lopez,liam45@hotmail.com,977278105,Market Rd 34,Haarlem,7874 AA,Netherlands,21.12.2020,2023-12-20,2027/08/15,Unit 143,4 sqm,196.31,late,2019/11/25,Pays cash
C101834,Sophia,Smith,ssmith@gmail.com,+31 6 50518965,Main St 101,Amstelveen,3937 AB,Nederland,20181111,12/06/2021,13/01/2018,Unit 345,unknown,208.4,late,27/04/2020,Moved out
C100930,Emma,Williams,emma1@hotmail.com,06-61815797 ext 52,Main St 193,Haarlem,3661 AC,Nederland,2019-02-21,01-24-2023,11/09/2019,#43,3 sqm,74.86,Overdue,,Pays cash
C100067,Ava,Garcia,ava54@outlook.com,PHONE732,Market Rd 179,Haarlemmermeer,2565 B,Netherlands,20180908,10-08-2017,01-12-2024,U1342,15m2,501.63,Overdue,2022-02-19,Customer asked for discount
C100478,Elijah,Williams,elijah.williams@inboxstorage.eu,+31656964010,Hoofdstraat 31,Haarlemmermeer,5834 AC,Ned.,04-12-2024,07-08-2016,08.10.2024,U1327,—,59.01,paid,,Pays cash
C101283,Henry,Rodriguez,hrodriguez@example.com,0031-6-22097688,Stationsplein 58,Haarlemmermeer,2177 B,Netherlands,20180516,16.03.2021,17.12.2027,u1056,1 sqm,64.93,overdue,16-Mar-2020,telefono incorrecto
C100721,Evelyn,Rodriguez,evelyn.rodriguez@outlook.com,0031-6-36423822,Baker St 148,Eindhoven,2735 AA,Nederland,20220520,07-07-2020,10-15-2019,#356,unknown,189.33,suspended,20210526,Pays cash
C101861,Oliver,Anderson,oanderson@yahoo.com,0031-6-12304734,Langestraat 124,The Hague,9738,Netherlands,2024-03-17,20160424,28.10.2018,Unit 294,10m2,494.12,PAID,2018-01-04,telefono incorrecto
C100281,Sophia,Gonzalez,sgonzalez@gmail.com,+31 6 55337565,Vijzelstraat 197,Rotterdam,8328 B,Ned.,2018/01/04,05.08.2018,2018/03/31,#226,10,479.23,suspended,20221126,Pays cash
C100788,Ava,Johnson,ajohnson@yahoo.com,539610480,Hoofdstraat 68,Haarlemmermeer,9565 B,NL,10.12.2021,20181102,08/08/2018,u1154,unknown,55.32,suspended,06-Aug-2019,Key lost
C101832,Olivia van,Miller,olivia van.miller@outlook.com,+31 6 25896980,Dorpsweg 130,Eindhoven,5438 AC,NL,20230115,20240518,16.06.2020,U1342,—,32.33,suspended,13/08/2023,Prefers email
C100134,Mia,Hernandez,mia.hernandez@outlook.com ,626189628,Baker St 151,The Hague,8224,Nederland,2021-01-06,07.07.2021,12-07-2027,u1044,5m2,350.74,overdue,02/07/2025,Pays cash
C101078,Amelia,Martin,amelia.martin@yahoo.com,626018357,Hoofdstraat 5,Amstelveen,8888 AA,Netherlands,11-29-2018,20160204,12-19-2027,Unit 286,—,189.21,late,26/07/2021,警告: unpaid
C100519,Emma,Martin,emma.martin@inboxstorage.eu,680137020,Vijzelstraat 10,Alkmaar,9115 AB,Ned.,2017-10-03,04.02.2023,18.07.2018,u1366,unknown,409.99,PAID,08/12/2021,Key lost
